ticket_id,ticket_text,category,priority,resolution_time_hours
TKT-10001,How do I update my credit card details for auto-renewal? Reference: TKT-23434 Kindly look into this matter.,billing,low,51.0
TKT-10002,I was charged twice for my subscription this month. Please refund the extra amount. Reference: TKT-40495 This is urgent.,billing,medium,46.2
TKT-10003,Need GST invoice for my company purchase. Thank you in advance.,billing,medium,38.4
TKT-10004,Can I export all my data in bulk? This is urgent.,product,medium,33.6
TKT-10005,I cannot export reports in PDF format. Button does nothing. Reference: TKT-54118 Looking forward to your response.,technical,high,7.1
TKT-10006,My invoice shows incorrect tax calculation. Can you fix it? This is affecting my business.,billing,low,35.2
TKT-10007,I need to merge two accounts into one. Please escalate this issue.,account,high,5.2
TKT-10008,How many users can I add on the current plan?,product,low,86.4
TKT-10009,I need to merge two accounts into one. Reference: TKT-39871 Please help as soon as possible.,account,medium,33.6
TKT-10010,Please remove the old admin who left the company. Kindly look into this matter.,account,urgent,5.8
TKT-10011,Does the tool support multi-language interface? Reference: TKT-56566 This is affecting my business.,product,medium,12.7
TKT-10012,Real-time notifications are delayed by several minutes. Please help as soon as possible.,technical,high,23.4
TKT-10013,API integration is failing with authentication error. I have been waiting for 3 days.,technical,medium,42.0
TKT-10014,How can I view login history of my account? Reference: TKT-52504 Thank you in advance.,account,urgent,2.1
TKT-10015,I was charged twice for my subscription this month. Please refund the extra amount. This is affecting my business.,billing,low,37.1
TKT-10016,My payment method expired. How do I update it without service interruption? Reference: TKT-75435 This is affecting my business.,billing,low,37.2
TKT-10017,Does the tool support multi-language interface? Reference: TKT-28301 Please escalate this issue.,product,urgent,2.8
TKT-10018,Webhooks are not being triggered for new events. Looking forward to your response.,technical,high,14.5
TKT-10019,Do you offer white-label solution for agencies? Reference: TKT-28131 This is affecting my business.,product,urgent,3.7
TKT-10020,Does the free plan include access to the API? Reference: TKT-30969 Please help as soon as possible.,product,low,45.0
TKT-10021,Do you offer white-label solution for agencies? I am a premium customer.,product,medium,34.0
TKT-10022,Can I customize the dashboard widgets? This is urgent.,product,medium,17.0
TKT-10023,I want to change from monthly to annual billing. Looking forward to your response.,billing,high,9.8
TKT-10024,How do I transfer ownership of the account to another person? I have been waiting for 3 days.,account,low,50.4
TKT-10025,Account recovery options are not working. I have been waiting for 3 days.,account,urgent,3.9
TKT-10026,How do I update my credit card details for auto-renewal? Thank you in advance.,billing,urgent,6.4
TKT-10027,Dashboard is loading very slowly for the past two days. Thank you in advance.,technical,medium,19.2
TKT-10028,Can you explain the extra charges on my recent invoice? Reference: TKT-57576 This is urgent.,billing,medium,30.5
TKT-10029,Please delete my account permanently as per GDPR.,account,low,66.7
TKT-10030,I was charged for premium features I didn't use. Please help as soon as possible.,billing,high,4.9
TKT-10031,Search functionality is not returning correct results. Reference: TKT-79163 Thank you in advance.,technical,low,67.7
TKT-10032,What is the uptime SLA for the paid plans? Thank you in advance.,product,urgent,1.8
TKT-10033,Getting CORS error when calling the public API. This is affecting my business.,technical,high,5.3
TKT-10034,Can I integrate this tool with Slack and Microsoft Teams? Please help as soon as possible.,product,low,92.3
TKT-10035,The application keeps crashing whenever I try to upload a large file. Please help as soon as possible.,technical,medium,46.8
TKT-10036,Please pause my subscription and stop billing temporarily. This is urgent.,billing,low,82.2
TKT-10037,How do I update my credit card details for auto-renewal? Reference: TKT-27342 Please escalate this issue.,billing,medium,23.0
TKT-10038,What are the data retention policies? Reference: TKT-22704 I am a premium customer.,product,low,31.0
TKT-10039,Do you offer white-label solution for agencies? Please escalate this issue.,product,medium,36.6
TKT-10040,Received a bill for a service I never signed up for. Reference: TKT-54473 Please help as soon as possible.,billing,high,12.8
TKT-10041,Payment failed but money was deducted from my account. Please help. Thank you in advance.,billing,low,32.8
TKT-10042,What are the data retention policies? Kindly look into this matter.,product,low,59.7
TKT-10043,I was charged for premium features I didn't use. Reference: TKT-95477 Thank you in advance.,billing,medium,13.2
TKT-10044,Please pause my subscription and stop billing temporarily. Reference: TKT-73653 Kindly look into this matter.,billing,urgent,7.3
TKT-10045,Do you offer white-label solution for agencies? Reference: TKT-10282 This is urgent.,product,low,42.6
TKT-10046,Can I export all my data in bulk? Reference: TKT-82845 Please escalate this issue.,product,medium,35.9
TKT-10047,How many users can I add on the current plan? Kindly look into this matter.,product,low,46.4
TKT-10048,I was charged twice for my subscription this month. Please refund the extra amount. This is urgent.,billing,high,14.4
TKT-10049,Webhooks are not being triggered for new events. Please help as soon as possible.,technical,low,63.4
TKT-10050,Received a bill for a service I never signed up for. Kindly look into this matter.,billing,medium,18.7
TKT-10051,The application keeps crashing whenever I try to upload a large file. Reference: TKT-96163,technical,medium,46.9
TKT-10052,Please delete my account permanently as per GDPR. Reference: TKT-61876 This is affecting my business.,account,urgent,6.3
TKT-10053,Mobile app freezes on the home screen after latest update. Please escalate this issue.,technical,high,22.8
TKT-10054,My payment method expired. How do I update it without service interruption?,billing,low,88.4
TKT-10055,I want to change from monthly to annual billing. Reference: TKT-55745 Looking forward to your response.,billing,medium,33.5
TKT-10056,I cancelled my plan but still got billed. Requesting refund. Reference: TKT-81200 Looking forward to your response.,billing,urgent,7.4
TKT-10057,Account recovery options are not working. Reference: TKT-82692 Thank you in advance.,account,high,5.8
TKT-10058,How can I change the email address linked to my account? Reference: TKT-24029 I have been waiting for 3 days.,account,urgent,2.0
TKT-10059,SSO login with Google is broken since yesterday. Kindly look into this matter.,technical,medium,13.6
TKT-10060,Getting timeout errors during peak hours. Looking forward to your response.,technical,high,10.5
TKT-10061,Please remove the old admin who left the company. Reference: TKT-65518 This is urgent.,account,urgent,3.4
TKT-10062,My account was locked after multiple failed login attempts. I have been waiting for 3 days.,account,low,43.5
TKT-10063,Need to update company name and address in profile. Thank you in advance.,account,low,83.7
TKT-10064,Please pause my subscription and stop billing temporarily. I have been waiting for 3 days.,billing,low,49.7
TKT-10065,I need to add a new team member with admin privileges. Reference: TKT-50404 I am a premium customer.,account,medium,22.1
TKT-10066,Account recovery options are not working. This is urgent.,account,urgent,4.6
TKT-10067,File upload progress bar stuck at 99%. Please help as soon as possible.,technical,high,6.8
TKT-10068,How does the AI feature work and is it included? I have been waiting for 3 days.,product,urgent,6.5
TKT-10069,The system is showing old data even after refresh. I have been waiting for 3 days.,technical,urgent,1.1
TKT-10070,Please pause my subscription and stop billing temporarily. This is affecting my business.,billing,low,95.1
TKT-10071,Is there a desktop application available? Reference: TKT-24168 Kindly look into this matter.,product,high,19.4
TKT-10072,Is there a desktop application available? Reference: TKT-70332 Please escalate this issue.,product,urgent,2.0
TKT-10073,Account recovery options are not working. Reference: TKT-96511 Kindly look into this matter.,account,medium,12.2
TKT-10074,Mobile app freezes on the home screen after latest update. Please help as soon as possible.,technical,medium,41.4
TKT-10075,I want to enable two-factor authentication. I am a premium customer.,account,medium,37.4
TKT-10076,How can I change the email address linked to my account? Reference: TKT-44795 Looking forward to your response.,account,urgent,6.0
TKT-10077,There is a discrepancy in the billing amount for enterprise plan. This is affecting my business.,billing,low,79.5
TKT-10078,I want to enable two-factor authentication. Please help as soon as possible.,account,medium,14.7
TKT-10079,Real-time notifications are delayed by several minutes. Reference: TKT-80575 I am a premium customer.,technical,medium,24.9
TKT-10080,I am unable to login. Getting error 500 internal server error. This is affecting my business.,technical,medium,16.2
TKT-10081,How do I update my credit card details for auto-renewal? Thank you in advance.,billing,high,21.3
TKT-10082,How does the AI feature work and is it included? Looking forward to your response.,product,medium,34.4
TKT-10083,Getting CORS error when calling the public API. I have been waiting for 3 days.,technical,medium,23.9
TKT-10084,Please remove the old admin who left the company. This is urgent.,account,medium,14.3
TKT-10085,SSO login with Google is broken since yesterday.,technical,medium,23.2
TKT-10086,Does the tool support multi-language interface? Kindly look into this matter.,product,medium,23.7
TKT-10087,Mobile app freezes on the home screen after latest update. Thank you in advance.,technical,high,18.6
TKT-10088,Account recovery options are not working. Kindly look into this matter.,account,low,69.9
TKT-10089,Dashboard is loading very slowly for the past two days. Reference: TKT-72277 This is urgent.,technical,high,21.7
TKT-10090,Please pause my subscription and stop billing temporarily. Reference: TKT-60328,billing,medium,29.0
TKT-10091,Is there a dark mode available in the application? This is urgent.,product,medium,16.3
TKT-10092,Payment failed but money was deducted from my account. Please help. I have been waiting for 3 days.,billing,high,18.3
TKT-10093,Can I integrate this tool with Slack and Microsoft Teams? Please help as soon as possible.,product,low,78.8
TKT-10094,Can I customize the dashboard widgets?,product,high,15.2
TKT-10095,How does the AI feature work and is it included? Thank you in advance.,product,high,19.4
TKT-10096,How does the AI feature work and is it included? Please escalate this issue.,product,urgent,4.2
TKT-10097,Mobile app freezes on the home screen after latest update. Thank you in advance.,technical,high,14.5
TKT-10098,I am unable to login. Getting error 500 internal server error. Reference: TKT-54020 Looking forward to your response.,technical,medium,27.4
TKT-10099,How can I change the email address linked to my account? Reference: TKT-60205 I have been waiting for 3 days.,account,urgent,0.7
